BoroCT2010,NTACode,NTAName
2000100,BX98,Rikers Island
2000200,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2000400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2001600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2001900,BX39,Mott Haven-Port Morris
2002000,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2002300,BX39,Mott Haven-Port Morris
2002400,BX99,park-cemetery-etc-Bronx
2002500,BX39,Mott Haven-Port Morris
2002701,BX39,Mott Haven-Port Morris
2002702,BX39,Mott Haven-Port Morris
2002800,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2003100,BX39,Mott Haven-Port Morris
2003300,BX39,Mott Haven-Port Morris
2003500,BX39,Mott Haven-Port Morris
2003700,BX39,Mott Haven-Port Morris
2003800,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2003900,BX39,Mott Haven-Port Morris
2004001,BX55,Soundview-Bruckner
2004100,BX39,Mott Haven-Port Morris
2004200,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2004300,BX39,Mott Haven-Port Morris
2004400,BX55,Soundview-Bruckner
2004600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2004800,BX55,Soundview-Bruckner
2005001,BX55,Soundview-Bruckner
2005002,BX55,Soundview-Bruckner
2005100,BX39,Mott Haven-Port Morris
2005200,BX55,Soundview-Bruckner
2005300,BX36,University Heights-Morris Heights
2005400,BX08,West Farms-Bronx River
2005600,BX08,West Farms-Bronx River
2005902,BX14,East Concourse-Concourse Village
2006000,BX75,Crotona Park East
2006100,BX14,East Concourse-Concourse Village
2006200,BX08,West Farms-Bronx River
2006300,BX63,West Concourse
2006400,BX08,West Farms-Bronx River
2006500,BX34,Melrose South-Mott Haven North
2006700,BX34,Melrose South-Mott Haven North
2006800,BX55,Soundview-Bruckner
2006900,BX34,Melrose South-Mott Haven North
2007000,BX55,Soundview-Bruckner
2007100,BX34,Melrose South-Mott Haven North
2007200,BX55,Soundview-Bruckner
2007300,BX34,Melrose South-Mott Haven North
2007400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2007500,BX34,Melrose South-Mott Haven North
2007600,BX08,West Farms-Bronx River
2007700,BX34,Melrose South-Mott Haven North
2007800,BX59,Westchester-Unionport
2007900,BX34,Melrose South-Mott Haven North
2008300,BX33,Longwood
2008400,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2008500,BX33,Longwood
2008600,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2008700,BX33,Longwood
2008900,BX27,Hunts Point
2009000,BX09,Soundview-Castle Hill-Clason Point-Harding Park
2009200,BX59,Westchester-Unionport
2009300,BX27,Hunts Point
2009600,BX59,Westchester-Unionport
2009800,BX59,Westchester-Unionport
2011000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2011502,BX27,Hunts Point
2011700,BX27,Hunts Point
2011800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2011900,BX27,Hunts Point
2012101,BX35,Morrisania-Melrose
2012102,BX27,Hunts Point
2012300,BX75,Crotona Park East
2012500,BX35,Morrisania-Melrose
2012701,BX27,Hunts Point
2012901,BX33,Longwood
2013000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2013100,BX33,Longwood
2013200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2013300,BX35,Morrisania-Melrose
2013500,BX35,Morrisania-Melrose
2013800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2014100,BX35,Morrisania-Melrose
2014300,BX14,East Concourse-Concourse Village
2014400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2014500,BX01,Claremont-Bathgate
2014701,BX01,Claremont-Bathgate
2014702,BX01,Claremont-Bathgate
2014900,BX35,Morrisania-Melrose
2015100,BX35,Morrisania-Melrose
2015200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2015300,BX75,Crotona Park East
2015500,BX75,Crotona Park East
2015700,BX75,Crotona Park East
2015800,BX52,Schuylerville-Throgs Neck-Edgewater Park
2015900,BX27,Hunts Point
2016000,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016100,BX75,Crotona Park East
2016200,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016300,BX99,park-cemetery-etc-Bronx
2016400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016500,BX01,Claremont-Bathgate
2016600,BX52,Schuylerville-Throgs Neck-Edgewater Park
2016700,BX01,Claremont-Bathgate
2016900,BX01,Claremont-Bathgate
2017100,BX99,park-cemetery-etc-Bronx
2017300,BX14,East Concourse-Concourse Village
2017500,BX14,East Concourse-Concourse Village
2017701,BX14,East Concourse-Concourse Village
2017702,BX14,East Concourse-Concourse Village
2017901,BX14,East Concourse-Concourse Village
2017902,BX14,East Concourse-Concourse Village
2018101,BX14,East Concourse-Concourse Village
2018102,BX14,East Concourse-Concourse Village
2018301,BX14,East Concourse-Concourse Village
2018302,BX14,East Concourse-Concourse Village
2018400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2018500,BX35,Morrisania-Melrose
2018900,BX26,Highbridge
2019300,BX26,Highbridge
2019400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2019500,BX63,West Concourse
2019700,BX63,West Concourse
2019900,BX26,Highbridge
2020000,BX37,Van Nest-Morris Park-Westchester Square
2020100,BX26,Highbridge
2020200,BX59,Westchester-Unionport
2020400,BX59,Westchester-Unionport
2020501,BX36,University Heights-Morris Heights
2020502,BX36,University Heights-Morris Heights
2020601,BX59,Westchester-Unionport
2020900,BX63,West Concourse
2021001,BX46,Parkchester
2021002,BX46,Parkchester
2021100,BX26,Highbridge
2021200,BX46,Parkchester
2021301,BX36,University Heights-Morris Heights
2021302,BX26,Highbridge
2021501,BX36,University Heights-Morris Heights
2021502,BX36,University Heights-Morris Heights
2021601,BX08,West Farms-Bronx River
2021602,BX46,Parkchester
2021700,BX36,University Heights-Morris Heights
2021800,BX08,West Farms-Bronx River
2021900,BX26,Highbridge
2022000,BX17,East Tremont
2022101,BX63,West Concourse
2022102,BX63,West Concourse
2022200,BX46,Parkchester
2022300,BX63,West Concourse
2022401,BX49,Pelham Parkway
2022403,BX49,Pelham Parkway
2022404,BX49,Pelham Parkway
2022500,BX14,East Concourse-Concourse Village
2022701,BX41,Mount Hope
2022702,BX41,Mount Hope
2022703,BX41,Mount Hope
2022800,BX49,Pelham Parkway
2022901,BX41,Mount Hope
2022902,BX41,Mount Hope
2023000,BX37,Van Nest-Morris Park-Westchester Square
2023100,BX41,Mount Hope
2023200,BX37,Van Nest-Morris Park-Westchester Square
2023301,BX41,Mount Hope
2023302,BX41,Mount Hope
2023501,BX41,Mount Hope
2023502,BX41,Mount Hope
2023600,BX37,Van Nest-Morris Park-Westchester Square
2023702,BX05,Bedford Park-Fordham North
2023703,BX40,Fordham South
2023704,BX40,Fordham South
2023800,BX37,Van Nest-Morris Park-Westchester Square
2023900,BX40,Fordham South
2024000,BX37,Van Nest-Morris Park-Westchester Square
2024100,BX41,Mount Hope
2024300,BX36,University Heights-Morris Heights
2024400,BX37,Van Nest-Morris Park-Westchester Square
2024501,BX36,University Heights-Morris Heights
2024502,BX36,University Heights-Morris Heights
2024600,BX49,Pelham Parkway
2024700,BX36,University Heights-Morris Heights
2024800,BX49,Pelham Parkway
2024900,BX36,University Heights-Morris Heights
2025000,BX49,Pelham Parkway
2025100,BX36,University Heights-Morris Heights
2025200,BX37,Van Nest-Morris Park-Westchester Square
2025300,BX30,Kingsbridge Heights
2025400,BX37,Van Nest-Morris Park-Westchester Square
2025500,BX30,Kingsbridge Heights
2025600,BX37,Van Nest-Morris Park-Westchester Square
2025700,BX36,University Heights-Morris Heights
2026100,BX30,Kingsbridge Heights
2026300,BX30,Kingsbridge Heights
2026400,BX52,Schuylerville-Throgs Neck-Edgewater Park
2026500,BX30,Kingsbridge Heights
2026601,BX10,Pelham Bay-Country Club-City Island
2026602,BX10,Pelham Bay-Country Club-City Island
2026701,BX28,Van Cortlandt Village
2026702,BX28,Van Cortlandt Village
2026900,BX30,Kingsbridge Heights
2027300,BX28,Van Cortlandt Village
2027401,BX10,Pelham Bay-Country Club-City Island
2027402,BX10,Pelham Bay-Country Club-City Island
2027600,BX99,park-cemetery-etc-Bronx
2027700,BX28,Van Cortlandt Village
2027900,BX28,Van Cortlandt Village
2028100,BX28,Van Cortlandt Village
2028300,BX29,Spuyten Duyvil-Kingsbridge
2028400,BX37,Van Nest-Morris Park-Westchester Square
2028500,BX29,Spuyten Duyvil-Kingsbridge
2028600,BX37,Van Nest-Morris Park-Westchester Square
2028700,BX29,Spuyten Duyvil-Kingsbridge
2028800,BX49,Pelham Parkway
2028900,BX29,Spuyten Duyvil-Kingsbridge
2029301,BX29,Spuyten Duyvil-Kingsbridge
2029302,BX29,Spuyten Duyvil-Kingsbridge
2029500,BX29,Spuyten Duyvil-Kingsbridge
2029600,BX49,Pelham Parkway
2029700,BX29,Spuyten Duyvil-Kingsbridge
2030000,BX10,Pelham Bay-Country Club-City Island
2030100,BX29,Spuyten Duyvil-Kingsbridge
2030200,BX13,Co-op City
2030701,BX22,North Riverdale-Fieldston-Riverdale
2030900,BX22,North Riverdale-Fieldston-Riverdale
2031000,BX31,Allerton-Pelham Gardens
2031200,BX31,Allerton-Pelham Gardens
2031400,BX31,Allerton-Pelham Gardens
2031600,BX31,Allerton-Pelham Gardens
2031800,BX31,Allerton-Pelham Gardens
2031900,BX22,North Riverdale-Fieldston-Riverdale
2032300,BX22,North Riverdale-Fieldston-Riverdale
2032400,BX07,Bronxdale
2032600,BX31,Allerton-Pelham Gardens
2032800,BX07,Bronxdale
2033000,BX07,Bronxdale
2033201,BX07,Bronxdale
2033202,BX07,Bronxdale
2033400,BX99,park-cemetery-etc-Bronx
2033500,BX22,North Riverdale-Fieldston-Riverdale
2033600,BX07,Bronxdale
2033700,BX22,North Riverdale-Fieldston-Riverdale
2033800,BX07,Bronxdale
2034000,BX07,Bronxdale
2034200,BX31,Allerton-Pelham Gardens
2034300,BX22,North Riverdale-Fieldston-Riverdale
2034400,BX31,Allerton-Pelham Gardens
2034500,BX22,North Riverdale-Fieldston-Riverdale
2034800,BX31,Allerton-Pelham Gardens
2035000,BX31,Allerton-Pelham Gardens
2035100,BX22,North Riverdale-Fieldston-Riverdale
2035600,BX03,Eastchester-Edenwald-Baychester
2035800,BX03,Eastchester-Edenwald-Baychester
2035900,BX17,East Tremont
2036000,BX31,Allerton-Pelham Gardens
2036100,BX17,East Tremont
2036300,BX17,East Tremont
2036400,BX03,Eastchester-Edenwald-Baychester
2036501,BX17,East Tremont
2036502,BX17,East Tremont
2036700,BX17,East Tremont
2036800,BX44,Williamsbridge-Olinville
2036901,BX17,East Tremont
2036902,BX17,East Tremont
2037000,BX44,Williamsbridge-Olinville
2037100,BX17,East Tremont
2037200,BX44,Williamsbridge-Olinville
2037300,BX17,East Tremont
2037400,BX44,Williamsbridge-Olinville
2037504,BX17,East Tremont
2037600,BX44,Williamsbridge-Olinville
2037800,BX44,Williamsbridge-Olinville
2037900,BX41,Mount Hope
2038000,BX44,Williamsbridge-Olinville
2038100,BX41,Mount Hope
2038200,BX44,Williamsbridge-Olinville
2038301,BX40,Fordham South
2038302,BX40,Fordham South
2038500,BX01,Claremont-Bathgate
2038600,BX03,Eastchester-Edenwald-Baychester
2038700,BX06,Belmont
2038800,BX44,Williamsbridge-Olinville
2038900,BX06,Belmont
2039000,BX44,Williamsbridge-Olinville
2039100,BX06,Belmont
2039200,BX44,Williamsbridge-Olinville
2039300,BX06,Belmont
2039400,BX44,Williamsbridge-Olinville
2039500,BX01,Claremont-Bathgate
2039600,BX44,Williamsbridge-Olinville
2039700,BX06,Belmont
2039800,BX44,Williamsbridge-Olinville
2039901,BX05,Bedford Park-Fordham North
2039902,BX05,Bedford Park-Fordham North
2040100,BX05,Bedford Park-Fordham North
2040302,BX05,Bedford Park-Fordham North
2040303,BX28,Van Cortlandt Village
2040304,BX28,Van Cortlandt Village
2040400,BX44,Williamsbridge-Olinville
2040501,BX05,Bedford Park-Fordham North
2040502,BX05,Bedford Park-Fordham North
2040600,BX44,Williamsbridge-Olinville
2040701,BX28,Van Cortlandt Village
2040702,BX05,Bedford Park-Fordham North
2040800,BX44,Williamsbridge-Olinville
2040900,BX28,Van Cortlandt Village
2041100,BX05,Bedford Park-Fordham North
2041300,BX05,Bedford Park-Fordham North
2041400,BX62,Woodlawn-Wakefield
2041500,BX05,Bedford Park-Fordham North
2041800,BX62,Woodlawn-Wakefield
2041900,BX43,Norwood
2042000,BX44,Williamsbridge-Olinville
2042100,BX43,Norwood
2042200,BX44,Williamsbridge-Olinville
2042300,BX43,Norwood
2042400,BX44,Williamsbridge-Olinville
2042500,BX43,Norwood
2042600,BX62,Woodlawn-Wakefield
2042800,BX62,Woodlawn-Wakefield
2042901,BX43,Norwood
2042902,BX43,Norwood
2043000,BX62,Woodlawn-Wakefield
2043100,BX43,Norwood
2043400,BX62,Woodlawn-Wakefield
2043500,BX99,park-cemetery-etc-Bronx
2043600,BX62,Woodlawn-Wakefield
2044200,BX62,Woodlawn-Wakefield
2044400,BX62,Woodlawn-Wakefield
2044800,BX62,Woodlawn-Wakefield
2044901,BX62,Woodlawn-Wakefield
2044902,BX62,Woodlawn-Wakefield
2045101,BX62,Woodlawn-Wakefield
2045102,BX62,Woodlawn-Wakefield
2045600,BX03,Eastchester-Edenwald-Baychester
2045800,BX03,Eastchester-Edenwald-Baychester
2046000,BX03,Eastchester-Edenwald-Baychester
2046201,BX13,Co-op City
2046202,BX13,Co-op City
2048400,BX03,Eastchester-Edenwald-Baychester
2050400,BX99,park-cemetery-etc-Bronx
2051600,BX10,Pelham Bay-Country Club-City Island
3000100,BK09,Brooklyn Heights-Cobble Hill
3000200,BK32,Sunset Park West
3000301,BK09,Brooklyn Heights-Cobble Hill
3000501,BK09,Brooklyn Heights-Cobble Hill
3000502,BK09,Brooklyn Heights-Cobble Hill
3000700,BK09,Brooklyn Heights-Cobble Hill
3000900,BK09,Brooklyn Heights-Cobble Hill
3001100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3001300,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3001500,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3001800,BK32,Sunset Park West
3002000,BK32,Sunset Park West
3002100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3002200,BK32,Sunset Park West
3002300,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3002901,BK68,Fort Greene
3003000,BK31,Bay Ridge
3003100,BK68,Fort Greene
3003300,BK68,Fort Greene
3003400,BK31,Bay Ridge
3003500,BK68,Fort Greene
3003600,BK31,Bay Ridge
3003700,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3003800,BK31,Bay Ridge
3003900,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3004100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3004300,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3004400,BK31,Bay Ridge
3004500,BK33,Carroll Gardens-Columbia Street-Red Hook
3004600,BK31,Bay Ridge
3004700,BK33,Carroll Gardens-Columbia Street-Red Hook
3004900,BK33,Carroll Gardens-Columbia Street-Red Hook
3005000,BK31,Bay Ridge
3005100,BK33,Carroll Gardens-Columbia Street-Red Hook
3005201,BK31,Bay Ridge
3005202,BK31,Bay Ridge
3005300,BK33,Carroll Gardens-Columbia Street-Red Hook
3005400,BK31,Bay Ridge
3005601,BK31,Bay Ridge
3005602,BK31,Bay Ridge
3005800,BK31,Bay Ridge
3005900,BK33,Carroll Gardens-Columbia Street-Red Hook
3006000,BK31,Bay Ridge
3006200,BK31,Bay Ridge
3006300,BK33,Carroll Gardens-Columbia Street-Red Hook
3006400,BK31,Bay Ridge
3006500,BK33,Carroll Gardens-Columbia Street-Red Hook
3006600,BK31,Bay Ridge
3006700,BK33,Carroll Gardens-Columbia Street-Red Hook
3006800,BK31,Bay Ridge
3006900,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3007000,BK31,Bay Ridge
3007100,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3007200,BK32,Sunset Park West
3007400,BK32,Sunset Park West
3007500,BK33,Carroll Gardens-Columbia Street-Red Hook
3007600,BK32,Sunset Park West
3007700,BK33,Carroll Gardens-Columbia Street-Red Hook
3007800,BK32,Sunset Park West
3008000,BK32,Sunset Park West
3008200,BK32,Sunset Park West
3008400,BK32,Sunset Park West
3008500,BK33,Carroll Gardens-Columbia Street-Red Hook
3008600,BK34,Sunset Park East
3008800,BK34,Sunset Park East
3009000,BK34,Sunset Park East
3009200,BK34,Sunset Park East
3009400,BK34,Sunset Park East
3009600,BK34,Sunset Park East
3009800,BK34,Sunset Park East
3010000,BK34,Sunset Park East
3010100,BK32,Sunset Park West
3010200,BK34,Sunset Park East
3010400,BK34,Sunset Park East
3010600,BK34,Sunset Park East
3010800,BK34,Sunset Park East
3011000,BK34,Sunset Park East
3011200,BK34,Sunset Park East
3011400,BK88,Borough Park
3011600,BK88,Borough Park
3011700,BK37,Park Slope-Gowanus
3011800,BK34,Sunset Park East
3011900,BK37,Park Slope-Gowanus
3012000,BK34,Sunset Park East
3012100,BK37,Park Slope-Gowanus
3012200,BK32,Sunset Park West
3012600,BK31,Bay Ridge
3012700,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3012801,BK30,Dyker Heights
3012901,BK37,Park Slope-Gowanus
3012902,BK37,Park Slope-Gowanus
3013000,BK31,Bay Ridge
3013100,BK37,Park Slope-Gowanus
3013200,BK30,Dyker Heights
3013300,BK37,Park Slope-Gowanus
3013400,BK31,Bay Ridge
3013500,BK37,Park Slope-Gowanus
3013600,BK31,Bay Ridge
3013700,BK37,Park Slope-Gowanus
3013800,BK31,Bay Ridge
3013900,BK37,Park Slope-Gowanus
3014000,BK30,Dyker Heights
3014100,BK37,Park Slope-Gowanus
3014200,BK31,Bay Ridge
3014300,BK37,Park Slope-Gowanus
3014500,BK32,Sunset Park West
3014700,BK32,Sunset Park West
3014800,BK30,Dyker Heights
3014900,BK37,Park Slope-Gowanus
3015000,BK30,Dyker Heights
3015100,BK37,Park Slope-Gowanus
3015200,BK30,Dyker Heights
3015300,BK37,Park Slope-Gowanus
3015400,BK99,park-cemetery-etc-Brooklyn
3015500,BK37,Park Slope-Gowanus
3015700,BK37,Park Slope-Gowanus
3015900,BK37,Park Slope-Gowanus
3016000,BK31,Bay Ridge
3016100,BK64,Prospect Heights
3016200,BK31,Bay Ridge
3016300,BK64,Prospect Heights
3016400,BK31,Bay Ridge
3016500,BK37,Park Slope-Gowanus
3016600,BK30,Dyker Heights
3016700,BK37,Park Slope-Gowanus
3016800,BK27,Bath Beach
3016900,BK40,Windsor Terrace
3017000,BK27,Bath Beach
3017100,BK40,Windsor Terrace
3017200,BK27,Bath Beach
3017400,BK27,Bath Beach
3017500,BK99,park-cemetery-etc-Brooklyn
3017600,BK27,Bath Beach
3017700,BK99,park-cemetery-etc-Brooklyn
3017800,BK27,Bath Beach
3017900,BK68,Fort Greene
3018000,BK27,Bath Beach
3018100,BK68,Fort Greene
3018200,BK28,Bensonhurst West
3018300,BK68,Fort Greene
3018400,BK28,Bensonhurst West
3018501,BK68,Fort Greene
3018600,BK28,Bensonhurst West
3018700,BK68,Fort Greene
3018800,BK28,Bensonhurst West
3019000,BK28,Bensonhurst West
3019100,BK69,Clinton Hill
3019200,BK88,Borough Park
3019300,BK69,Clinton Hill
3019400,BK30,Dyker Heights
3019500,BK69,Clinton Hill
3019600,BK30,Dyker Heights
3019700,BK69,Clinton Hill
3019800,BK30,Dyker Heights
3019900,BK69,Clinton Hill
3020000,BK30,Dyker Heights
