BoroCT2010,NTACode,NTAName
4114100,QN51,Murray Hill
4114700,QN51,Murray Hill
4115100,QN51,Murray Hill
4115500,QN51,Murray Hill
4115700,QN51,Murray Hill
4115900,QN51,Murray Hill
4116100,QN22,Flushing
4116300,QN51,Murray Hill
4116700,QN51,Murray Hill
4117100,QN51,Murray Hill
4117500,QN51,Murray Hill
4118100,QN48,Auburndale
4118500,QN52,East Flushing
4118700,QN52,East Flushing
4118900,QN52,East Flushing
4119100,QN52,East Flushing
4119300,QN52,East Flushing
4119500,QN52,East Flushing
4119900,QN52,East Flushing
4120100,QN52,East Flushing
4120300,QN52,East Flushing
4120500,QN52,East Flushing
4120700,QN52,East Flushing
4121100,QN99,park-cemetery-etc-Queens
4121500,QN62,Queensboro Hill
4122300,QN38,Pomonok-Flushing Heights-Hillcrest
4122701,QN38,Pomonok-Flushing Heights-Hillcrest
4122702,QN38,Pomonok-Flushing Heights-Hillcrest
4124100,QN38,Pomonok-Flushing Heights-Hillcrest
4124700,QN38,Pomonok-Flushing Heights-Hillcrest
4125700,QN37,Kew Gardens Hills
4126500,QN38,Pomonok-Flushing Heights-Hillcrest
4126700,QN38,Pomonok-Flushing Heights-Hillcrest
4127700,QN06,Jamaica Estates-Holliswood
4128300,QN99,park-cemetery-etc-Queens
4129102,QN42,Oakland Gardens
4129103,QN42,Oakland Gardens
4129104,QN42,Oakland Gardens
4130100,QN43,Bellerose
4133300,QN41,Fresh Meadows-Utopia
4133900,QN41,Fresh Meadows-Utopia
4134100,QN41,Fresh Meadows-Utopia
4134700,QN41,Fresh Meadows-Utopia
4136700,QN42,Oakland Gardens
4137700,QN42,Oakland Gardens
4138501,QN42,Oakland Gardens
4138502,QN99,park-cemetery-etc-Queens
4139900,QN46,Bayside-Bayside Hills
4140300,QN46,Bayside-Bayside Hills
4140901,QN46,Bayside-Bayside Hills
4140902,QN48,Auburndale
4141700,QN48,Auburndale
4142900,QN48,Auburndale
4143500,QN46,Bayside-Bayside Hills
4144100,QN46,Bayside-Bayside Hills
4144700,QN46,Bayside-Bayside Hills
4145101,QN48,Auburndale
4145102,QN46,Bayside-Bayside Hills
4145900,QN48,Auburndale
4146300,QN46,Bayside-Bayside Hills
4146700,QN46,Bayside-Bayside Hills
4147100,QN46,Bayside-Bayside Hills
4147900,QN45,Douglas Manor-Douglaston-Little Neck
4148300,QN45,Douglas Manor-Douglaston-Little Neck
4150701,QN45,Douglas Manor-Douglaston-Little Neck
4150702,QN45,Douglas Manor-Douglaston-Little Neck
4152901,QN45,Douglas Manor-Douglaston-Little Neck
4152902,QN45,Douglas Manor-Douglaston-Little Neck
4155101,QN44,Glen Oaks-Floral Park-New Hyde Park
4155102,QN44,Glen Oaks-Floral Park-New Hyde Park
4156700,QN43,Bellerose
4157101,QN43,Bellerose
4157102,QN43,Bellerose
4157901,QN44,Glen Oaks-Floral Park-New Hyde Park
4157902,QN44,Glen Oaks-Floral Park-New Hyde Park
4157903,QN44,Glen Oaks-Floral Park-New Hyde Park
4161700,QN43,Bellerose
4162100,QN43,Bellerose
4990100,QN99,park-cemetery-etc-Queens
5000300,SI22,West New Brighton-New Brighton-St. George
5000600,SI37,Stapleton-Rosebank
5000700,SI22,West New Brighton-New Brighton-St. George
5000800,SI37,Stapleton-Rosebank
5000900,SI22,West New Brighton-New Brighton-St. George
5001100,SI22,West New Brighton-New Brighton-St. George
5001700,SI37,Stapleton-Rosebank
5001800,SI14,Grasmere-Arrochar-Ft. Wadsworth
5002001,SI37,Stapleton-Rosebank
5002002,SI14,Grasmere-Arrochar-Ft. Wadsworth
5002100,SI37,Stapleton-Rosebank
5002700,SI37,Stapleton-Rosebank
5002900,SI37,Stapleton-Rosebank
5003300,SI08,Grymes Hill-Clifton-Fox Hills
5003600,SI37,Stapleton-Rosebank
5003900,SI08,Grymes Hill-Clifton-Fox Hills
5004000,SI08,Grymes Hill-Clifton-Fox Hills
5004700,SI08,Grymes Hill-Clifton-Fox Hills
5005000,SI14,Grasmere-Arrochar-Ft. Wadsworth
5005900,SI35,New Brighton-Silver Lake
5006400,SI14,Grasmere-Arrochar-Ft. Wadsworth
5006700,SI35,New Brighton-Silver Lake
5007000,SI36,Old Town-Dongan Hills-South Beach
5007400,SI14,Grasmere-Arrochar-Ft. Wadsworth
5007500,SI35,New Brighton-Silver Lake
5007700,SI22,West New Brighton-New Brighton-St. George
5008100,SI22,West New Brighton-New Brighton-St. George
5008900,SI22,West New Brighton-New Brighton-St. George
5009601,SI36,Old Town-Dongan Hills-South Beach
5009602,SI36,Old Town-Dongan Hills-South Beach
5009700,SI22,West New Brighton-New Brighton-St. George
5010500,SI35,New Brighton-Silver Lake
5011201,SI36,Old Town-Dongan Hills-South Beach
5011202,SI45,New Dorp-Midland Beach
5011401,SI36,Old Town-Dongan Hills-South Beach
5011402,SI45,New Dorp-Midland Beach
5012100,SI35,New Brighton-Silver Lake
5012200,SI45,New Dorp-Midland Beach
5012500,SI22,West New Brighton-New Brighton-St. George
5012804,SI45,New Dorp-Midland Beach
5012805,SI25,Oakwood-Oakwood Beach
5012806,SI25,Oakwood-Oakwood Beach
5013201,SI25,Oakwood-Oakwood Beach
5013203,SI54,Great Kills
5013204,SI25,Oakwood-Oakwood Beach
5013301,SI22,West New Brighton-New Brighton-St. George
5013302,SI22,West New Brighton-New Brighton-St. George
5013400,SI45,New Dorp-Midland Beach
5013800,SI25,Oakwood-Oakwood Beach
5014100,SI22,West New Brighton-New Brighton-St. George
5014604,SI54,Great Kills
5014605,SI54,Great Kills
5014606,SI54,Great Kills
5014607,SI54,Great Kills
5014608,SI54,Great Kills
5014700,SI07,Westerleigh
5015100,SI07,Westerleigh
5015400,SI99,park-cemetery-etc-Staten Island
5015601,SI54,Great Kills
5015602,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5015603,SI54,Great Kills
5016901,SI07,Westerleigh
5017005,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5017007,SI48,Arden Heights
5017008,SI48,Arden Heights
5017009,SI48,Arden Heights
5017010,SI48,Arden Heights
5017011,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5017012,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5017300,SI05,New Springville-Bloomfield-Travis
5017600,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5017700,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5018100,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5018701,SI07,Westerleigh
5018702,SI05,New Springville-Bloomfield-Travis
5018901,SI07,Westerleigh
5018902,SI05,New Springville-Bloomfield-Travis
5019700,SI07,Westerleigh
5019800,SI01,Annadale-Huguenot-Prince's Bay-Eltingville
5020100,SI07,Westerleigh
5020700,SI28,Port Richmond
5020801,SI32,Rossville-Woodrow
5020803,SI32,Rossville-Woodrow
5020804,SI32,Rossville-Woodrow
5021300,SI28,Port Richmond
5022300,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5022600,SI11,Charleston-Richmond Valley-Tottenville
5022800,SI05,New Springville-Bloomfield-Travis
5023100,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5023900,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5024401,SI11,Charleston-Richmond Valley-Tottenville
5024402,SI11,Charleston-Richmond Valley-Tottenville
5024700,SI28,Port Richmond
5024800,SI11,Charleston-Richmond Valley-Tottenville
5025100,SI28,Port Richmond
5027301,SI05,New Springville-Bloomfield-Travis
5027302,SI05,New Springville-Bloomfield-Travis
5027702,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5027704,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5027705,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5027706,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5027900,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
5029102,SI05,New Springville-Bloomfield-Travis
5029103,SI05,New Springville-Bloomfield-Travis
5029104,SI05,New Springville-Bloomfield-Travis
5030301,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5030302,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5031901,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5031902,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5032300,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville
5990100,SI99,park-cemetery-etc-Staten Island
1000100,MN99,park-cemetery-etc-Manhattan
1000201,MN28,Lower East Side
1000202,MN28,Lower East Side
1000500,MN99,park-cemetery-etc-Manhattan
1000600,MN28,Lower East Side
1000700,MN25,Battery Park City-Lower Manhattan
1000800,MN27,Chinatown
1000900,MN25,Battery Park City-Lower Manhattan
1001001,MN28,Lower East Side
1001002,MN28,Lower East Side
1001200,MN28,Lower East Side
1001300,MN25,Battery Park City-Lower Manhattan
1001401,MN28,Lower East Side
1001402,MN28,Lower East Side
1001501,MN25,Battery Park City-Lower Manhattan
1001502,MN25,Battery Park City-Lower Manhattan
1001600,MN27,Chinatown
1001800,MN27,Chinatown
1002000,MN28,Lower East Side
1002100,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1002201,MN28,Lower East Side
1002202,MN28,Lower East Side
1002400,MN28,Lower East Side
1002500,MN27,Chinatown
1002601,MN28,Lower East Side
1002602,MN28,Lower East Side
1002700,MN27,Chinatown
1002800,MN28,Lower East Side
1002900,MN27,Chinatown
1003001,MN27,Chinatown
1003002,MN22,East Village
1003100,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1003200,MN22,East Village
1003300,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1003400,MN22,East Village
1003601,MN27,Chinatown
1003602,MN22,East Village
1003700,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1003800,MN22,East Village
1003900,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1004000,MN22,East Village
1004100,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1004200,MN22,East Village
1004300,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1004400,MN50,Stuyvesant Town-Cooper Village
1004500,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1004700,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1004800,MN21,Gramercy
1004900,MN24,SoHo-TriBeCa-Civic Center-Little Italy
1005000,MN21,Gramercy
1005200,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1005400,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1005501,MN23,West Village
1005502,MN23,West Village
1005600,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1005700,MN23,West Village
1005800,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1005900,MN23,West Village
1006000,MN50,Stuyvesant Town-Cooper Village
1006100,MN23,West Village
1006200,MN20,Murray Hill-Kips Bay
1006300,MN23,West Village
1006400,MN21,Gramercy
1006500,MN23,West Village
1006600,MN20,Murray Hill-Kips Bay
1006700,MN23,West Village
1006800,MN21,Gramercy
1006900,MN23,West Village
1007000,MN20,Murray Hill-Kips Bay
1007100,MN23,West Village
1007200,MN20,Murray Hill-Kips Bay
1007300,MN23,West Village
1007400,MN17,Midtown-Midtown South
1007500,MN23,West Village
1007600,MN17,Midtown-Midtown South
1007700,MN23,West Village
1007800,MN20,Murray Hill-Kips Bay
1007900,MN23,West Village
1008000,MN20,Murray Hill-Kips Bay
1008100,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1008200,MN20,Murray Hill-Kips Bay
1008300,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1008400,MN17,Midtown-Midtown South
1008601,MN19,Turtle Bay-East Midtown
1008602,MN19,Turtle Bay-East Midtown
1008603,MN19,Turtle Bay-East Midtown
1008700,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1008800,MN19,Turtle Bay-East Midtown
1008900,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1009000,MN19,Turtle Bay-East Midtown
1009100,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1009200,MN19,Turtle Bay-East Midtown
1009300,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1009400,MN17,Midtown-Midtown South
1009500,MN17,Midtown-Midtown South
1009600,MN17,Midtown-Midtown South
1009700,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1009800,MN19,Turtle Bay-East Midtown
1009900,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1010000,MN19,Turtle Bay-East Midtown
1010100,MN17,Midtown-Midtown South
1010200,MN17,Midtown-Midtown South
1010300,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1010400,MN17,Midtown-Midtown South
1010601,MN19,Turtle Bay-East Midtown
1010602,MN31,Lenox Hill-Roosevelt Island
1010800,MN19,Turtle Bay-East Midtown
1010900,MN17,Midtown-Midtown South
1011000,MN31,Lenox Hill-Roosevelt Island
1011100,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1011201,MN17,Midtown-Midtown South
1011202,MN17,Midtown-Midtown South
1011203,MN19,Turtle Bay-East Midtown
1011300,MN17,Midtown-Midtown South
1011401,MN40,Upper East Side-Carnegie Hill
1011402,MN40,Upper East Side-Carnegie Hill
1011500,MN15,Clinton
1011600,MN31,Lenox Hill-Roosevelt Island
1011700,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square
1011800,MN31,Lenox Hill-Roosevelt Island
1011900,MN17,Midtown-Midtown South
1012000,MN40,Upper East Side-Carnegie Hill
1012100,MN15,Clinton
1012200,MN40,Upper East Side-Carnegie Hill
1012400,MN31,Lenox Hill-Roosevelt Island
1012500,MN17,Midtown-Midtown South
1012600,MN31,Lenox Hill-Roosevelt Island
1012700,MN15,Clinton
1012800,MN40,Upper East Side-Carnegie Hill
1012900,MN15,Clinton
1013000,MN40,Upper East Side-Carnegie Hill
1013100,MN17,Midtown-Midtown South
1013200,MN31,Lenox Hill-Roosevelt Island
1013300,MN15,Clinton
1013400,MN31,Lenox Hill-Roosevelt Island
1013500,MN15,Clinton
1013600,MN32,Yorkville
1013700,MN17,Midtown-Midtown South
1013800,MN32,Yorkville
1013900,MN15,Clinton
1014000,MN40,Upper East Side-Carnegie Hill
1014200,MN40,Upper East Side-Carnegie Hill
1014300,MN99,park-cemetery-etc-Manhattan
1014401,MN32,Yorkville
1014402,MN32,Yorkville
1014500,MN14,Lincoln Square
1014601,MN32,Yorkville
1014602,MN32,Yorkville
1014700,MN14,Lincoln Square
1014801,MN40,Upper East Side-Carnegie Hill
1014802,MN40,Upper East Side-Carnegie Hill
1014900,MN14,Lincoln Square
1015001,MN40,Upper East Side-Carnegie Hill
1015002,MN40,Upper East Side-Carnegie Hill
1015100,MN14,Lincoln Square
1015200,MN32,Yorkville
1015300,MN14,Lincoln Square
1015400,MN32,Yorkville
1015500,MN14,Lincoln Square
1015601,MN32,Yorkville
1015602,MN33,East Harlem South
1015700,MN14,Lincoln Square
1015801,MN40,Upper East Side-Carnegie Hill
1015802,MN33,East Harlem South
1015900,MN14,Lincoln Square
1016001,MN40,Upper East Side-Carnegie Hill
1016002,MN33,East Harlem South
1016100,MN12,Upper West Side
1016200,MN33,East Harlem South
1016300,MN12,Upper West Side
1016400,MN33,East Harlem South
1016500,MN12,Upper West Side
1016600,MN33,East Harlem South
1016700,MN12,Upper West Side
1016800,MN33,East Harlem South
1016900,MN12,Upper West Side
1017000,MN33,East Harlem South
1017100,MN12,Upper West Side
1017200,MN33,East Harlem South
1017300,MN12,Upper West Side
1017401,MN33,East Harlem South
1017402,MN33,East Harlem South
1017500,MN12,Upper West Side
1017700,MN12,Upper West Side
1017800,MN34,East Harlem North
1017900,MN12,Upper West Side
1018000,MN34,East Harlem North
1018100,MN12,Upper West Side
1018200,MN34,East Harlem North
1018300,MN12,Upper West Side
1018400,MN34,East Harlem North
1018500,MN12,Upper West Side
1018600,MN11,Central Harlem South
1018700,MN12,Upper West Side
1018800,MN34,East Harlem North
1018900,MN12,Upper West Side
1019000,MN11,Central Harlem South
1019100,MN12,Upper West Side
1019200,MN34,East Harlem North
1019300,MN09,Morningside Heights
1019400,MN34,East Harlem North
1019500,MN09,Morningside Heights
1019600,MN34,East Harlem North
1019701,MN09,Morningside Heights
1019702,MN11,Central Harlem South
1019800,MN34,East Harlem North
1019900,MN09,Morningside Heights
1020000,MN11,Central Harlem South
1020101,MN09,Morningside Heights
1020102,MN11,Central Harlem South
1020300,MN09,Morningside Heights
1020500,MN09,Morningside Heights
1020600,MN03,Central Harlem North-Polo Grounds
1020701,MN09,Morningside Heights
1020800,MN03,Central Harlem North-Polo Grounds
1020901,MN09,Morningside Heights
1021000,MN34,East Harlem North
1021100,MN09,Morningside Heights
1021200,MN03,Central Harlem North-Polo Grounds
1021303,MN06,Manhattanville
1021400,MN03,Central Harlem North-Polo Grounds
1021500,MN03,Central Harlem North-Polo Grounds
1021600,MN11,Central Harlem South
1021703,MN06,Manhattanville
1021800,MN11,Central Harlem South
1021900,MN06,Manhattanville
1022000,MN11,Central Harlem South
1022102,MN03,Central Harlem North-Polo Grounds
1022200,MN11,Central Harlem South
1022301,MN06,Manhattanville
1022302,MN06,Manhattanville
1022400,MN03,Central Harlem North-Polo Grounds
1022500,MN04,Hamilton Heights
1022600,MN03,Central Harlem North-Polo Grounds
1022700,MN04,Hamilton Heights
1022800,MN03,Central Harlem North-Polo Grounds
1022900,MN04,Hamilton Heights
1023000,MN03,Central Harlem North-Polo Grounds
1023100,MN04,Hamilton Heights
1023200,MN03,Central Harlem North-Polo Grounds
1023300,MN04,Hamilton Heights
1023400,MN03,Central Harlem North-Polo Grounds
1023501,MN04,Hamilton Heights
1023502,MN03,Central Harlem North-Polo Grounds
1023600,MN03,Central Harlem North-Polo Grounds
1023700,MN04,Hamilton Heights
1023801,MN31,Lenox Hill-Roosevelt Island
1023802,MN31,Lenox Hill-Roosevelt Island
1023900,MN36,Washington Heights South
1024000,MN99,park-cemetery-etc-Manhattan
1024100,MN36,Washington Heights South
1024200,MN34,East Harlem North
1024301,MN36,Washington Heights South
1024302,MN03,Central Harlem North-Polo Grounds
1024500,MN36,Washington Heights South
1024700,MN36,Washington Heights South
1024900,MN36,Washington Heights South
1025100,MN36,Washington Heights South
1025300,MN36,Washington Heights South
1025500,MN36,Washington Heights South
1025700,MN11,Central Harlem South
1025900,MN03,Central Harlem North-Polo Grounds
1026100,MN36,Washington Heights South
1026300,MN36,Washington Heights South
1026500,MN36,Washington Heights South
1026700,MN35,Washington Heights North
1026900,MN35,Washington Heights North
1027100,MN35,Washington Heights North
1027300,MN35,Washington Heights North
1027500,MN35,Washington Heights North
1027700,MN35,Washington Heights North
1027900,MN35,Washington Heights North
1028100,MN35,Washington Heights North
1028300,MN35,Washington Heights North
1028500,MN35,Washington Heights North
1028700,MN35,Washington Heights North
1029100,MN01,Marble Hill-Inwood
1029300,MN01,Marble Hill-Inwood
1029500,MN01,Marble Hill-Inwood
1029700,MN99,park-cemetery-etc-Manhattan
1029900,MN01,Marble Hill-Inwood
1030300,MN01,Marble Hill-Inwood
1030700,MN01,Marble Hill-Inwood
1030900,MN01,Marble Hill-Inwood
1031100,MN99,park-cemetery-etc-Manhattan
1031703,MN25,Battery Park City-Lower Manhattan
1031704,MN25,Battery Park City-Lower Manhattan
1031900,MN99,park-cemetery-etc-Manhattan
